2025-07-17 12:11:59,721 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 19:00:08,876 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Standard Doji' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 19:00:08,877 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Bat Bearish' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 19:00:08,879 - ClawBackend - INFO - [pattern_alert_worker.py:151] - [CLEANUP] Keeping pattern 'Abcd Bullish' in pattern_listeners:BTCUSDT:1m (still in Supabase)
2025-07-17 19:00:09,959 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:09,962 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:09,963 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:09,965 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:09,968 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:09,971 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:11,873 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:11,875 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:11,877 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:11,878 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:11,880 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:11,881 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:13,872 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:13,874 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:13,875 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:13,877 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:13,878 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:13,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:15,883 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:15,885 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:15,886 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:15,887 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:15,888 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:15,889 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:17,948 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:17,966 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:17,969 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:17,970 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:17,972 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:17,973 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:19,892 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:19,894 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:19,896 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:19,897 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:19,898 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:19,900 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:21,946 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:21,949 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:21,951 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:21,954 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:21,956 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:21,958 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:23,886 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:23,889 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:23,891 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:23,893 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:23,895 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:23,897 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:25,873 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:25,876 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:25,878 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:25,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:25,881 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:25,883 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:27,983 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:27,986 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:27,989 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:27,991 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:27,993 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:27,995 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:29,929 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:29,934 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:29,936 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:29,951 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:29,954 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:29,962 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:31,976 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:31,978 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:31,980 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:31,983 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:31,986 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:31,987 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:33,922 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:33,924 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:33,926 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:33,927 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:33,929 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:33,931 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:35,877 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:35,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:35,880 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:35,882 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:35,884 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:35,885 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:36,875 - ClawBackend - INFO - [pattern_alert_worker.py:596] - Health check: 3 listeners alive, 0 restarted. Alive: ['BTCUSDT:15m', 'BTCUSDT:5m', 'BTCUSDT:1m']
2025-07-17 19:00:37,915 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:37,917 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:37,918 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:37,920 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:37,921 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:37,922 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:39,963 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:39,966 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:39,967 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:39,969 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:39,970 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:39,972 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:41,910 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:41,913 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:41,915 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:41,916 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:41,917 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:41,918 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:43,957 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:43,959 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:43,961 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:43,963 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:43,965 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:43,967 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:45,874 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:45,876 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:45,878 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:45,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:45,880 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:45,882 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:47,873 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:47,875 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:47,877 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:47,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:47,880 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:47,882 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:49,900 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:49,901 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:49,904 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:49,905 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:49,907 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:49,909 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:51,944 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:51,946 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:51,948 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:51,949 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:51,951 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:51,952 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:53,889 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:53,892 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:53,893 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:53,896 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:53,897 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:53,899 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:55,891 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:55,892 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:55,894 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:55,895 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:55,897 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:55,898 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:57,888 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:57,889 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:57,892 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:57,893 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:57,894 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:57,896 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:59,932 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:00:59,934 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:00:59,935 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:59,938 - ClawBackend - INFO - [pattern_alert_worker.py:548] - 🕯️ Queuing closed candle for BTCUSDT:1m - Close: 118885.97, Time: 1752768000000
2025-07-17 19:00:59,940 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:1m: kline
2025-07-17 19:00:59,942 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:1m, skipping
2025-07-17 19:00:59,947 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:00:59,948 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
2025-07-17 19:00:59,954 - ClawBackend - INFO - [pattern_alert_worker.py:570] - 📊 Updated rolling window for BTCUSDT:1m with new closed candle (from queue)
2025-07-17 19:00:59,956 - ClawBackend - INFO - [pattern_alert_worker.py:572] - 🔍 Triggering pattern detection for BTCUSDT:1m after new candle (from queue)
2025-07-17 19:00:59,958 - ClawBackend - INFO - [pattern_alert_worker.py:407] - 🔍 Starting pattern detection for BTCUSDT:1m
2025-07-17 19:00:59,963 - ClawBackend - INFO - [pattern_alert_worker.py:416] - 📊 Found 100 candles in rolling window for BTCUSDT:1m
2025-07-17 19:00:59,966 - ClawBackend - INFO - [pattern_alert_worker.py:420] - [DEBUG] Last candle in rolling window for BTCUSDT:1m: {'open': 117760.02, 'high': 117810.5, 'low': 117760.02, 'close': 117807.36, 'volume': 4.88847, 'timestamp': 1752758700000}
2025-07-17 19:00:59,968 - ClawBackend - INFO - [pattern_alert_worker.py:430] - 📈 OHLCV data prepared for BTCUSDT:1m - Last close: 117807.36
2025-07-17 19:00:59,972 - ClawBackend - INFO - [pattern_alert_worker.py:440] - 🎯 Found 4 active patterns for BTCUSDT:1m: ['Gravestone Doji', 'Standard Doji', 'Bat Bearish', 'Abcd Bullish']
2025-07-17 19:00:59,974 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Gravestone Doji' with 1 users
2025-07-17 19:00:59,975 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Standard Doji' with 1 users
2025-07-17 19:00:59,977 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Bat Bearish' with 1 users
2025-07-17 19:00:59,979 - ClawBackend - INFO - [pattern_alert_worker.py:449] - 🔍 Adding detection task for pattern 'Abcd Bullish' with 1 users
2025-07-17 19:00:59,980 - ClawBackend - INFO - [pattern_alert_worker.py:457] - 🚀 Running 4 pattern detection tasks for BTCUSDT:1m
2025-07-17 19:00:59,982 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: gravestone_doji) on BTCUSDT:1m
2025-07-17 19:00:59,984 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 19:00:59,986 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for doji (requested type: standard_doji) on BTCUSDT:1m
2025-07-17 19:00:59,987 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No doji pattern detected for BTCUSDT:1m
2025-07-17 19:00:59,990 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for bat (requested type: bat_bearish) on BTCUSDT:1m
2025-07-17 19:00:59,993 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No bat pattern detected for BTCUSDT:1m
2025-07-17 19:00:59,994 - ClawBackend - INFO - [pattern_alert_worker.py:489] - 🎯 Running detector for abcd (requested type: abcd_bullish) on BTCUSDT:1m
2025-07-17 19:00:59,996 - ClawBackend - INFO - [pattern_alert_worker.py:495] - ❌ No abcd pattern detected for BTCUSDT:1m
2025-07-17 19:00:59,999 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 0 on BTCUSDT:1m: {'detected': False}
2025-07-17 19:01:00,000 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 1 on BTCUSDT:1m: {'detected': False}
2025-07-17 19:01:00,002 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 2 on BTCUSDT:1m: {'detected': False}
2025-07-17 19:01:00,003 - ClawBackend - WARNING - [pattern_alert_worker.py:467] - ❌ Pattern not found or unexpected result for task 3 on BTCUSDT:1m: {'detected': False}
2025-07-17 19:01:00,006 - ClawBackend - INFO - [pattern_alert_worker.py:471] - ✅ Pattern detection completed for BTCUSDT:1m
2025-07-17 19:01:01,877 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:5m: kline
2025-07-17 19:01:01,879 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:5m, skipping
2025-07-17 19:01:01,880 - ClawBackend - INFO - [pattern_alert_worker.py:537] - 📨 Received WebSocket message for BTCUSDT:15m: kline
2025-07-17 19:01:01,884 - ClawBackend - INFO - [pattern_alert_worker.py:551] - ⏳ Received non-closed candle for BTCUSDT:15m, skipping
